ps_id,d_20180709,d_20180721,d_20180802,d_20180814,d_20180826,d_20180907,d_20180919,d_20181001,d_20181013,d_20181025,d_20181106,d_20181118,d_20181130,d_20181212,d_20181224,d_20190105,d_20190117,d_20190129
12229,0.0,-2.7726657,5.8232317,1.6136595,-4.43856,-5.4830146,-2.258623,8.195681,4.105876,4.105876,4.105876,4.105876,-9.389668,0.24501392,-7.488308,5.1702185,-0.48306835,1.0393941
12230,0.0,-4.402848,5.7048883,2.4558723,-5.136404,-5.011904,-3.1422384,5.215576,2.5731304,2.5731304,2.5731304,2.5731304,-8.85781,1.9969597,-5.485847,4.978646,-0.42830032,2.6252713
12231,0.0,-5.6954308,2.234017,0.04996796,-6.47516,-6.353698,-7.228439,2.7605467,-1.0607171,-1.0607171,-1.0607171,-1.0607171,-14.439033,-6.1878614,-16.111864,-6.316825,-6.94134,-7.210287
12232,0.0,-9.5868225,-19.22605,-19.731802,-24.919367,-29.397566,-39.04216,-28.032433,-31.522251,-26.148886,-20.491829,-21.94488,-25.866877,-14.341733,-3.6252878,-10.58545,-19.345299,-21.032923
12233,0.0,-9.413738,-18.063616,-19.204575,-27.11739,-29.157925,-22.950592,-21.941206,-26.046606,-26.046606,-26.046606,-26.046606,-38.29813,-29.86402,-41.92312,-46.55959,-52.0647,-54.336914
12234,0.0,0.0,-10.936662,-11.964311,-18.644773,-21.380367,-20.804922,-15.221857,-18.44774,-18.44774,-18.44774,-18.44774,-4.338769,6.317555,6.317555,6.317555,6.317555,6.317555
12235,0.0,0.0,-9.387961,-8.529552,-17.131575,-17.606873,-16.019762,-11.2921915,-12.047602,-2.3986838,5.1404014,-6.425577,-6.425577,-6.425577,-14.094689,-2.611792,-12.724336,-13.99931
12236,0.0,-9.706021,-17.642881,-19.799356,-25.207428,-27.749008,-27.622211,-20.394365,-23.406158,-31.955088,-25.945532,-38.087444,-47.67264,-37.159718,-45.51201,-54.71686,-42.19769,-45.67332
12237,0.0,-8.105532,-18.287912,-19.220936,-26.433887,-29.548775,-27.430157,-21.66737,-25.52197,-32.785374,-29.156244,-37.91124,-49.46788,-37.26307,-45.45473,-58.117153,-68.38254,-70.1434
12238,0.0,-7.927619,-18.387007,-18.992662,-26.384628,-29.464418,-27.306576,-21.570333,-25.330187,-32.889637,-29.504145,-37.85608,-49.213303,-37.186462,-45.170605,-57.991,-68.07102,-69.623215
